key,name,Handedness,height,weight,Mean Batting Average,Mean Home Runs,Height_Class,Weight_Class,Physical Attributes,Count
67,Syd O'Brien,Right Handed,73,185,0.23,24,Taller,Heavier,Taller & Heavier,307
68,Chris Chambliss,Left Handed,73,195,0.279,185,Taller,Heavier,Taller & Heavier,119
69,Tom Satriano,Left Handed,73,185,0.225,21,Taller,Heavier,Taller & Heavier,119
70,Jeffrey Leonard,Right Handed,74,200,0.266,144,Taller,Heavier,Taller & Heavier,307
71,Dal Maxvill,Right Handed,71,157,0.217,6,Shorter,Thinner,Shorter & Thinner,229
72,Steve Curry,Right Handed,78,217,0,0,Taller,Heavier,Taller & Heavier,307
73,Cesar Tovar,Right Handed,69,155,0.278,46,Shorter,Thinner,Shorter & Thinner,229
74,Mickey Lolich,Both L & R,73,170,0.11,0,Taller,Thinner,Taller & Thinner,13
75,Ray Chadwick,Both L & R,74,180,0,0,Taller,Thinner,Taller & Thinner,13
76,Jack Heidemann,Right Handed,72,175,0.211,9,Shorter,Thinner,Shorter & Thinner,229
77,Rich Rollins,Right Handed,70,185,0.269,77,Shorter,Heavier,Shorter & Heavier,101
78,Walt Bond,Left Handed,79,228,0.256,41,Taller,Heavier,Taller & Heavier,119
79,Merv Rettenmund,Right Handed,70,190,0.271,66,Shorter,Heavier,Shorter & Heavier,101
80,Bryan Clutterbuck,Right Handed,76,223,0,0,Taller,Heavier,Taller & Heavier,307
81,Byron Browne,Right Handed,74,190,0.236,30,Taller,Heavier,Taller & Heavier,307
82,Hector Torres,Right Handed,72,175,0.216,18,Shorter,Thinner,Shorter & Thinner,229
83,Walt Williams,Right Handed,66,165,0.27,33,Shorter,Thinner,Shorter & Thinner,229
84,Jerry Koosman,Right Handed,74,205,0.119,2,Taller,Heavier,Taller & Heavier,307
85,Steve Lombardozzi,Right Handed,72,175,0.233,20,Shorter,Thinner,Shorter & Thinner,229
86,Joe Azcue,Right Handed,72,190,0.252,50,Shorter,Heavier,Shorter & Heavier,101
87,Elliott Maddox,Right Handed,71,180,0.261,18,Shorter,Thinner,Shorter & Thinner,229
88,Omar Moreno,Left Handed,74,180,0.252,37,Taller,Thinner,Taller & Thinner,43
89,Julian Javier,Right Handed,73,175,0.257,78,Taller,Thinner,Taller & Thinner,100
90,Tony Ferreira,Left Handed,73,160,0,0,Taller,Thinner,Taller & Thinner,43
91,Elio Chacon,Right Handed,69,160,0.232,4,Shorter,Thinner,Shorter & Thinner,229
92,Rusty Torres,Both L & R,70,175,0.212,35,Shorter,Thinner,Shorter & Thinner,54
93,John Stearns,Right Handed,72,185,0.26,46,Shorter,Heavier,Shorter & Heavier,101
94,Larry Brown,Right Handed,70,160,0.233,47,Shorter,Thinner,Shorter & Thinner,229
95,Tommy Dean,Right Handed,72,165,0.18,4,Shorter,Thinner,Shorter & Thinner,229
96,Bryan Oelkers,Left Handed,75,192,0,0,Taller,Heavier,Taller & Heavier,119
97,Kevin Bearse,Left Handed,74,195,0,0,Taller,Heavier,Taller & Heavier,119
98,Marty Martinez,Both L & R,72,170,0.243,0,Shorter,Thinner,Shorter & Thinner,54
99,Bruce Boisclair,Left Handed,74,185,0.263,10,Taller,Heavier,Taller & Heavier,119
100,Ken Singleton,Both L & R,76,210,0.282,246,Taller,Heavier,Taller & Heavier,27
101,Frank White,Right Handed,71,165,0.255,160,Shorter,Thinner,Shorter & Thinner,229
102,Jim Fairey,Left Handed,70,190,0.235,7,Shorter,Heavier,Shorter & Heavier,47
103,Jose Roman,Right Handed,72,175,0,0,Shorter,Thinner,Shorter & Thinner,229
104,Tom Brookens,Right Handed,70,165,0.246,71,Shorter,Thinner,Shorter & Thinner,229
105,Gary Thomasson,Left Handed,73,180,0.249,61,Taller,Thinner,Taller & Thinner,43
106,Mike Trujillo,Right Handed,73,180,0,0,Taller,Thinner,Taller & Thinner,100
107,Albert Williams,Right Handed,76,190,0,0,Taller,Heavier,Taller & Heavier,307
108,Oswaldo Peraza,Right Handed,76,172,0,0,Taller,Thinner,Taller & Thinner,100
109,Otto Velez,Right Handed,72,170,0.251,78,Shorter,Thinner,Shorter & Thinner,229
110,Tony Scott,Both L & R,72,164,0.249,17,Shorter,Thinner,Shorter & Thinner,54
111,Ray Oyler,Right Handed,71,165,0.175,15,Shorter,Thinner,Shorter & Thinner,229
112,Barry Cort,Right Handed,77,210,0,0,Taller,Heavier,Taller & Heavier,307
113,Floyd Robinson,Left Handed,69,175,0.283,67,Shorter,Thinner,Shorter & Thinner,107
114,Steve Jeltz,Both L & R,71,180,0.21,5,Shorter,Thinner,Shorter & Thinner,54
115,Lou Brock,Left Handed,71,170,0.293,149,Shorter,Thinner,Shorter & Thinner,107
116,Bill Wilkinson,Right Handed,70,160,0,0,Shorter,Thinner,Shorter & Thinner,229
117,Joe Lovitto,Both L & R,72,185,0.216,4,Shorter,Heavier,Shorter & Heavier,10
118,Mike Loynd,Right Handed,76,210,0,0,Taller,Heavier,Taller & Heavier,307
119,Wayne Comer,Right Handed,70,175,0.229,16,Shorter,Thinner,Shorter & Thinner,229
120,Dave Collins,Both L & R,71,175,0.272,32,Shorter,Thinner,Shorter & Thinner,54
121,Ed Spiezio,Right Handed,71,180,0.238,39,Shorter,Thinner,Shorter & Thinner,229
122,Rico Petrocelli,Right Handed,72,175,0.251,210,Shorter,Thinner,Shorter & Thinner,229
123,Johnny Lewis,Left Handed,73,189,0.227,22,Taller,Heavier,Taller & Heavier,119
